,user,text,favorite_count,retweet_count,created_at
145,elonmusk,"Companies in general are missing the incredible opportunity that Twitter provides to reach customers. 

Just Tweet interesting things! That’s all it takes. https://t.co/XTzhNNwgt6",57965,6094,2023-01-17 17:20:58+00:00
146,elonmusk,The Car Aquatic https://t.co/P7KYF8J8HF,123941,10886,2023-01-17 17:15:51+00:00
147,elonmusk,@RobertKennedyJr The truth is finally coming out,119769,12973,2023-01-17 17:06:47+00:00
148,elonmusk,@RepTroyNehls Does seem odd,38161,2403,2023-01-17 16:59:15+00:00
149,elonmusk,@bgurley Wise words,7275,337,2023-01-17 16:55:57+00:00
150,elonmusk,"@Davos Population collapse is an existential problem for humanity, not overpopulation!",25513,5035,2023-01-17 09:11:37+00:00
151,elonmusk,"@foxmediallc @paulg Twitter Verified tweets are more likely to be recommended to others, as they are less likely to be bots or troll farms",3008,250,2023-01-17 08:26:48+00:00
152,elonmusk,@katewand @DrEliDavid @canuck741 Sounds accurate,2907,227,2023-01-17 08:19:00+00:00
153,elonmusk,"@BBCBreaking Government data has far more latency &amp; error than people think, which is why it’s so frequently restated, especially in a rapidly changing economy.

When the economy is not changing rapidly, actually measuring things isn’t important, as you can simply extrapolate from the past.",14913,1318,2023-01-17 08:08:51+00:00
154,elonmusk,@ImMeme0 Is it even possible to parody their tweets? I’m just literally wondering right now if it’s even possible 🤔,5496,417,2023-01-17 07:38:17+00:00
155,elonmusk,@MirrorinSpace @Brookstone23 @realchrisrufo @wef lol,1995,133,2023-01-17 06:38:11+00:00
156,elonmusk,"@paulg Looking at the comments, this social network might be trending positively towards positivity. We will try to make that more the case.",5540,297,2023-01-17 06:15:59+00:00
157,elonmusk,@weirdterrifying Nice,35471,923,2023-01-17 05:36:28+00:00
158,elonmusk,@KanekoaTheGreat Interesting thread,4538,612,2023-01-17 05:30:42+00:00
159,elonmusk,@JaneidyEve The recommendation algorithm will get much better and it will be open source,12213,862,2023-01-17 03:58:42+00:00
160,elonmusk,"@ScottAdamsSays “Master the Future” doesn’t sound ominous at all … 🙄

How is WEF/Davos even a thing? Are they trying to be the boss of Earth!?",98504,16169,2023-01-17 03:54:25+00:00
161,elonmusk,"Trashing accounts that you hate will cause our algorithm to show you more of those accounts, as it is keying off of your interactions.

Basically saying if you love trashing *that* account, then you will probably also love trashing *this* account. Not actually wrong lol.",200792,18884,2023-01-17 03:47:49+00:00
162,elonmusk,@BillyM2k Should Twitter keep it active?,29517,1296,2023-01-17 03:40:08+00:00
163,elonmusk,"@jacobin This is a rare case where I agree with Jacobin.

Increasing quality of life for the aged is important, but increased lifespan, especially if cognitive impairment is not addressed, is not good for civilization.

We are already ruled by a gerontocracy!",4341,453,2023-01-17 03:38:04+00:00
164,elonmusk,"@banthebbc BBC is at least honest that they are the *British* Broadcasting Corporation, unlike many others …",2394,216,2023-01-17 03:25:27+00:00
165,elonmusk,"@banthebbc Well, your account handle is literally BanTheBBC haha!

But that’s actually the point I was making: state influence/affiliation with media is far more common than most people realize – just look at how much Twitter/FB/Google have been influenced!",2225,270,2023-01-17 03:23:41+00:00
166,elonmusk,"@Brookstone23 @realchrisrufo @wef There are some really funny WEF parody accounts, although it’s legit hard to tell WEF truth from WEF parody sometimes!",3725,418,2023-01-17 03:16:50+00:00
167,elonmusk,"@realchrisrufo Sensible thread. 

We shouldn’t be obsessed with WEF/Davos, but they take themselves sooo seriously that making fun of them is awesome 😎",25529,2127,2023-01-17 03:10:32+00:00
168,elonmusk,@Jason Population collapse is a massive danger to the future of civilization!,7839,818,2023-01-17 03:06:03+00:00
169,elonmusk,"@ganaha_masako That is ironic indeed. Doubly so, given that Tesla Model Y is best-selling car in Switzerland! 🤣🤣
https://t.co/jdbiAOgcKc",7894,585,2023-01-17 03:04:30+00:00
170,elonmusk,@MrStevenSteele @appuntito160 True,2151,158,2023-01-17 02:36:24+00:00
171,elonmusk,@appuntito160 🤣🤣 he blocked me,6388,343,2023-01-17 02:33:44+00:00
172,elonmusk,@bfcarlson Worrisome,23288,1357,2023-01-17 02:02:45+00:00
173,elonmusk,@ScottAdamsSays He’s right,7585,429,2023-01-16 22:16:42+00:00
174,elonmusk,"@DJSnM @ThePrimalDino Center core moving too fast return. Falcon Heavy is a 3 (or 2.5) stage rocket, but full &amp; rapid reusability on Earth demand a 2 stage rocket.

1st stage returns to launch site immediately via boostback &amp; 2nd stage orbits until ground track passes back over launch site to return.",3240,200,2023-01-16 20:07:25+00:00
175,elonmusk,"@appuntito160 People on the right should see more “left wing” stuff and people on the left should see more “right wing” stuff.

But you can just block it if you want to stay in an echo chamber.",24795,2449,2023-01-16 19:56:29+00:00
176,elonmusk,"@DavidSacks The censorship tools were created to deal with scams &amp; spam, but then were turned to political purposes.

Those who favor censorship should remember that it is only a matter of time before censorship turns on you.

There will always be some censorship, but less is better.",37413,5586,2023-01-16 19:36:23+00:00
177,elonmusk,@stats_feed Exactly. Money is actually a set of heterogeneous databases with vast amounts of legacy code still using COBOL on mainframes in batch mode.,39918,3771,2023-01-16 19:25:23+00:00
178,elonmusk,"@DavidSacks @zerohedge Zerohedge can be jerks at times, but they did nothing warranting suspension",13759,918,2023-01-16 19:11:25+00:00
179,elonmusk,@stats_feed Sea water contains enough of every element to support &gt;10X current civilizational needs,68500,5826,2023-01-16 18:55:41+00:00
